case_id,open_date,case_topic,service_name,assigned_department,assigned_team,case_status,closure_reason,closure_comments,close_date,target_close_date,on_time,report_source,full_address,street_number,street_name,zip_code,neighborhood,public_works_district,city_council_district,fire_district,police_district,ward,precinct,submitted_photo,closed_photo,longitude,latitude
BCS-00106116,2025-10-23 11:53:13.059545+00,Street Light Knockdown,Street Light Knockdown,Public Works Department (PWD),PWD Street Lighting,In progress,,,,2025-10-26 11:53:13.059545+00,OVERDUE,BOS311,,,,,Fenway,10A,7,4,D4,4.0,11.0,,,,
BCS-00109751,2025-10-30 18:24:10.948+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,In progress,,,,2025-11-02 17:24:10.948+00,OVERDUE,Call,"59 Brainerd Rd, Boston, MA 02134",59,Brainerd Rd,2134.0,Allston,4,9,11,D14,21.0,5.0,,,-71.132832,42.348069
BCS-00112332,2025-11-04 19:23:14.166309+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,In progress,,,,2025-11-07 19:23:14.166309+00,ONTIME,BOS311,"5 Braemore Rd, Boston, MA 02135",5,Braemore Rd,2135.0,Brighton,4,9,11,D14,21.0,15.0,,,-71.15248749,42.3385063
BCS-00107016,2025-10-25 06:30:16.838014+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,In progress,,,,2025-10-28 06:30:16.838014+00,OVERDUE,BOS311,"30-32 Porter St, Boston, MA 02128",30,Porter St,2128.0,East Boston,9,1,1,A7,1.0,6.0,,,-71.037729,42.374565
BCS-00112288,2025-11-04 17:48:28.911731+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,Closed,Transitioned,,2025-11-05 07:31:37+00,2025-11-07 17:48:28.911731+00,ONTIME,BOS311,"372 Arborway, Boston, MA 02130",372,Arborway,2130.0,Jamaica Plain,2,6,9,E13,11.0,10.0,,,-71.1165555,42.302871
BCS-00111556,2025-11-03 16:19:09.054+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,In progress,,,,2025-11-06 16:19:09.054+00,OVERDUE,Call,"450 Harrison Ave, Boston, MA 02118",450,Harrison Ave,2118.0,South End,1C,3,4,D4,3.0,16.0,,,-71.0649495,42.342705
BCS-00067947,2025-08-06 13:47:45.509+00,Lost Pet,Lost Pet,Animal Care & Control,Animal control staff,Closed,Noted,,2025-08-06 17:30:06+00,2025-08-09 13:47:45.509+00,ONTIME,Call,"5 Vine Ave, Roxbury, MA 02119",5,Vine Ave,2119.0,Roxbury,10B,7,7,B2,8.0,3.0,,,-71.077392,42.325812
BCS-00074808,2025-08-19 20:01:16.813+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,In progress,,,,2025-08-22 20:01:16.813+00,OVERDUE,Call,"7 Davitt St, Dorchester, MA 02125",7,Davitt St,2125.0,Dorchester,3,3,7,C11,13.0,10.0,,,-71.0493795,42.313023
BCS-00085148,2025-09-07 07:29:44.909+00,Wild Animal Issue,Wild Animal Issue,Animal Care & Control,Animal control staff,Closed,Noted,,2025-09-07 08:00:06+00,2025-09-10 07:29:44.909+00,ONTIME,Call,"791 Tremont St, Roxbury, MA 02118",791,Tremont St,2118.0,Roxbury,10B,7,4,D4,9.0,6.0,,,-71.0817795,42.338817
BCS-00108029,2025-10-28 08:51:35.904+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,In progress,,,,2025-10-31 08:51:35.904+00,OVERDUE,Call,"40 Kingsland Rd, Boston, MA 02132",40,Kingsland Rd,2132.0,West Roxbury,6A,6,10,E5,20.0,17.0,,,-71.168679,42.289632
BCS-00090323,2025-09-17 16:40:45.854+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,Closed,Noted,,2025-09-17 17:15:05+00,2025-09-20 16:40:45.854+00,ONTIME,Call,"70 Seattle St, Allston, MA 02134",70,Seattle St,2134.0,Allston,4,9,11,D14,22.0,1.0,,,-71.1258075,42.360903
